City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,touros,BR,-5.2,-35.46,80.6,78,40,11.41,scattered clouds
189,nome,US,64.5,-165.41,18.0,72,1,4.5,clear sky
190,chalons-en-champagne,FR,48.95,4.37,64.4,88,90,19.46,overcast clouds
191,trelaze,FR,47.45,-0.47,64.99,88,90,16.11,overcast clouds
192,alekseyevsk,RU,57.84,108.35,10.74,91,0,2.68,clear sky
193,petropavlovsk-kamchatskiy,RU,53.05,158.65,30.2,80,6,6.71,clear sky
194,paso de carrasco,UY,-34.86,-56.05,68.0,55,0,10.29,clear sky
195,mar del plata,AR,-38.0,-57.56,62.6,63,0,11.41,clear sky
196,cidreira,BR,-30.18,-50.21,63.52,65,30,7.65,scattered clouds
197,ribeira grande,PT,38.52,-28.7,64.4,68,75,6.93,broken clouds
198,upernavik,GL,72.79,-56.15,16.07,92,97,4.25,overcast clouds
199,the valley,AI,18.22,-63.06,84.2,66,20,17.22,few clouds
200,jasper,US,37.2,-94.35,55.99,24,1,12.75,clear sky
201,port blair,IN,11.67,92.75,79.75,79,43,3.27,scattered clouds
202,kaeo,NZ,-35.1,173.78,72.0,80,100,3.0,overcast clouds
203,pangnirtung,CA,66.15,-65.71,17.6,72,90,4.7,light shower snow
204,rabo de peixe,PT,37.8,-25.58,62.6,82,75,25.28,broken clouds
205,athboy,IE,53.62,-6.92,50.0,93,75,12.75,broken clouds
206,rustenburg,ZA,-25.67,27.24,61.72,75,100,8.32,light rain
207,ketchikan,US,55.34,-131.65,53.6,100,90,28.86,moderate rain
208,sisimiut,GL,66.94,-53.67,28.38,94,100,10.16,overcast clouds
209,beloha,MG,-25.17,45.05,66.72,80,7,16.53,clear sky
210,horsham,GB,51.06,-0.33,61.0,93,75,18.34,broken clouds
211,saint george,US,37.1,-113.58,80.01,12,1,3.36,clear sky
212,cabo san lucas,MX,22.89,-109.91,93.2,21,5,4.7,clear sky
213,port lincoln,AU,-34.73,135.87,67.68,53,46,13.29,scattered clouds
214,nchelenge,ZM,-9.35,28.73,75.04,57,40,0.51,scattered clouds
215,mount gambier,AU,-37.83,140.77,55.4,87,42,8.05,scattered clouds
216,vadso,NO,70.07,29.75,41.0,93,75,18.34,broken clouds
217,palaikastron,GR,35.2,26.25,68.0,62,35,15.01,scattered clouds
218,puerto escondido,MX,15.85,-97.07,84.85,62,0,4.16,clear sky
219,christchurch,NZ,-43.53,172.63,57.0,71,100,5.82,overcast clouds
220,taraza,CO,7.58,-75.4,80.51,83,80,1.01,moderate rain
221,marsa matruh,EG,31.35,27.25,64.4,88,40,5.82,scattered clouds
222,ouadda,CF,8.08,22.4,70.61,83,66,1.99,broken clouds
223,kaitangata,NZ,-46.28,169.85,51.01,74,76,11.01,broken clouds
224,ishigaki,JP,24.34,124.16,75.2,83,20,10.29,few clouds
225,marawi,PH,8.0,124.29,73.99,90,100,4.0,overcast clouds
226,margate,GB,51.38,1.39,63.0,93,100,7.0,overcast clouds
227,stornoway,GB,58.21,-6.39,48.2,81,90,18.34,light rain
228,kaili,ID,-3.46,120.21,68.27,95,90,1.5,overcast clouds
229,khandyga,RU,62.67,135.6,-12.48,86,0,2.01,clear sky
230,barcelos,PT,41.54,-8.62,62.6,100,90,10.29,overcast clouds
231,novo oriente,BR,-5.53,-40.77,86.52,43,39,3.85,scattered clouds
232,hualmay,PE,-11.1,-77.61,65.88,73,77,8.7,broken clouds
233,xining,CN,36.62,101.77,29.71,81,10,1.68,clear sky
234,maarianhamina,AX,60.1,19.93,50.0,93,90,21.92,overcast clouds
235,keuruu,FI,62.27,24.7,46.0,81,90,11.41,overcast clouds
236,baykit,RU,61.67,96.37,21.45,95,100,5.1,overcast clouds
237,yabrud,SY,33.97,36.66,66.2,68,75,5.82,broken clouds
238,rawson,AR,-43.3,-65.1,96.8,6,40,18.34,scattered clouds
239,lebu,CL,-37.62,-73.65,56.73,83,8,6.44,clear sky
240,sao joao da barra,BR,-21.64,-41.05,71.6,73,75,19.46,broken clouds
241,librazhd,AL,41.18,20.32,48.2,93,0,3.36,clear sky
242,yulara,AU,-25.24,130.99,71.6,24,15,3.36,few clouds
243,pedernales,DO,18.04,-71.74,86.0,70,40,13.87,scattered clouds
244,aklavik,CA,68.22,-135.01,8.6,84,99,1.12,overcast clouds
245,chapais,CA,49.78,-74.85,32.0,99,90,10.29,light snow
246,vila velha,BR,-20.33,-40.29,73.4,69,75,16.11,broken clouds
247,bathsheba,BB,13.22,-59.52,82.4,78,75,21.92,shower rain
248,bodden town,KY,19.28,-81.25,86.0,74,40,17.22,shower rain
249,tevaitoa,PF,-16.78,-151.5,81.1,77,19,21.92,few clouds
250,kizner,RU,56.27,51.51,29.32,96,0,4.12,clear sky
251,ilebo,CD,-4.32,20.58,70.52,96,99,2.57,light rain
252,pochutla,MX,15.74,-96.47,88.0,67,0,5.39,clear sky
253,ulaangom,MN,49.98,92.07,25.03,94,78,3.15,broken clouds
254,richards bay,ZA,-28.78,32.04,64.85,88,100,4.45,light rain
255,chokwe,MZ,-24.53,32.98,68.04,88,83,4.54,broken clouds
